Region;Percentage;id
Acre;0.1;0
Alagoas;0.1;1
Amapa;0.1;2
Amazonas;2.4;3
Bahia;1.1;4
Ceara;0.7;5
Distrito Federal;1.4;6
Espirito Santo;0.5;7
Goias;1.4;8
Maranhao;0.1;9
Mato Grosso;2.3;10
Mato Grosso do Sul;2.2;11
Minas Gerais;4.1;12
Para;0.4;13
Paraiba;0.2;14
Parana;13.6;15
Pernambuco;0.6;16
Piaui;0.1;17
Rio de Janeiro;6.3;18
Rio Grande do Norte;0.3;19
Rio Grande do Sul;10.7;20
Rondonia;0.6;21
Roraima;2.0;22
Santa Catarina;17.2;23
Sao Paulo;31.2;24
Sergipe;0.1;25
Tocantins;0.1;26
