id;Region;Total;Percentage
25;Zürich;423.701;27,3
5;Bern;173.451;16,6
11;Luzern;79.215;19,0
21;Uri;4.746;12,9
16;Schwyz;35.930;22,2
14;Obwalden;5.633;14,8
13;Nidwalden;6.524;15,0
8;Glarus;10.098;24,7
24;Zug;37.058;28,8
6;Freiburg;75.209;23,1
17;Solothurn;64.927;23,4
4;Basel-Stadt;72.584;36,9
3;Basel-Landschaft;68.565;23,6
15;Schaffhausen;21.840;26,3
1;Appenzell Ausserrhoden;9.174;16,6
2;Appenzell Innerrhoden;1.873;11,5
18;St. Gallen;127.106;24,7
9;Graubünden;38.107;19,0
0;Aargau;177.057;25,5
19;Thurgau;72.069;25,5
20;Tessin;96.877;27,6
23;Waadt;270.717;33,2
22;Wallis;79.523;22,8
12;Neuenburg;44.223;25,1
7;Genf;203.612;40,2
10;Jura;10.969;14,9
